evt_id,evt_start,evt_end,evt_text,$evt_color,$evt_bg,$evt_category
20221013_ac3n6fc1i127jbkpnqor9bkdcs,2022-10-13,2022-10-13,Karaka Chaturthi (Karva Chauth),#000000,#FFDBDB,1
20221024_t47jelhfh3qm4ifq6sba82qltg,2022-10-24,2022-10-24,Diwali/Deepavali,#000000,#FFDBDB,1
20221024_tnh5ctov19l2ggb9prhe0ssabc,2022-10-24,2022-10-24,Naraka Chaturdasi,#000000,#FFDBDB,1
20221025_346186n4771gt15edidqshb12g,2022-10-25,2022-10-25,Govardhan Puja,#000000,#FFDBDB,1
20221026_tn5cq7n2gcehkvpjl2uq8ci78s,2022-10-26,2022-10-26,Bhai Duj,#000000,#FFDBDB,1
20221030_aj7v8h6fv96hj1t9e03ndombck,2022-10-30,2022-10-30,Chhat Puja (Pratihar Sashthi/Surya Sashthi),#000000,#FFDBDB,1
20221108_bnn7ahc9qr0lh2afqjpb9veuj0,2022-11-08,2022-11-08,Guru Nanak Jayanti,#000000,#FFDBDB,1
20221124_ghphle7ppfmvfiq2g5humb2me8,2022-11-24,2022-11-24,Guru Tegh Bahadur's Martyrdom Day,#000000,#FFDBDB,1
20221224_lcgg8m1359roqe05tvnnafbt2s,2022-12-24,2022-12-24,Christmas Eve,#000000,#FFDBDB,1
20221225_apfbln527i1qpgefsv8lh81uug,2022-12-25,2022-12-25,Christmas,#000000,#FFDBDB,1
20221229_ueqrermmn8re3h4unpof3k6fs4,2022-12-29,2022-12-29,Guru Govind Singh Jayanti,#000000,#FFDBDB,1
20230101_jt8j4gjd25cnbq5mu4uugkeo9k,2023-01-01,2023-01-01,New Year's Day,#000000,#FFDBDB,1
20230114_irvsh4fr3t2n4fcl6b10otha6k,2023-01-14,2023-01-14,Makar Sankranti,#000000,#FFDBDB,1
20230115_i2g0rg6bon2j8me0u7sjm7tka4,2023-01-15,2023-01-15,Pongal,#000000,#FFDBDB,1
20230126_32k1n90r06la29e8te70c1u40s,2023-01-26,2023-01-26,Republic Day,white,#D62246,2
20230126_jop3t0vt8i1anit5e8d8tisr24,2023-01-26,2023-01-26,Vasant Panchami,white,#D62246,2
20230205_9or44lpflu8s17jug6paodpvck,2023-02-05,2023-02-05,Hazarat Ali's Birthday,#000000,#FFDBDB,1
20230205_n1qgojhglm6jjiml166hi307rs,2023-02-05,2023-02-05,Guru Ravidas Jayanti,#000000,#FFDBDB,1
20230215_chb58fvbbo4qgg10g5nrvgteeo,2023-02-15,2023-02-15,Maharishi Dayanand Saraswati Jayanti,#000000,#FFDBDB,1
20230218_ml54actfam30b0c7n1qjunm24o,2023-02-18,2023-02-18,Maha Shivaratri/Shivaratri,#000000,#FFDBDB,1
20230219_sm4rfm9h8flptl1tupiqoq5n7s,2023-02-19,2023-02-19,Shivaji Jayanti,#000000,#FFDBDB,1
20230307_i7tvofq9hjbg4l6pd9d3dd5t7o,2023-03-07,2023-03-07,Dolyatra,#000000,#FFDBDB,1
20230307_n0r4j5rjlogu5hucbjeevbk4hs,2023-03-07,2023-03-07,Holika Dahana,#000000,#FFDBDB,1
20230308_49j459mvsi48u5vntig8ipehi4,2023-03-08,2023-03-08,Holi,white,#D62246,2
20230322_hp60tusd486sbhb0b2149cc3ko,2023-03-22,2023-03-22,Chaitra Sukhladi,#000000,#FFDBDB,1
20230322_rvcepa0hb1o5185g08bjdr6grc,2023-03-22,2023-03-22,Gudi Padwa,#000000,#FFDBDB,1
20230322_sst1hfmrn3jubgca811240610g,2023-03-22,2023-03-22,Ugadi,#000000,#FFDBDB,1
20230330_ulg1qqfo5rtv4oalupifaa6n9c,2023-03-30,2023-03-30,Rama Navami,#000000,#FFDBDB,1
20230404_lj3i9vhf73fv3omj63nsa5u6d0,2023-04-04,2023-04-04,Mahavir Jayanti,#000000,#FFDBDB,1
20230407_ov2s16sui03ojeldvcrgs4o4m8,2023-04-07,2023-04-07,Good Friday,#000000,#FFDBDB,1
20230409_ctdrlkuhdne96iqgm7bq87bni4,2023-04-09,2023-04-09,Easter Day,#000000,#FFDBDB,1
20230414_gkv869gkg9e1hr0tiftkpje2r4,2023-04-14,2023-04-14,Vaisakhi,#000000,#FFDBDB,1
20230415_0qhjgr255bde37901gcia166vo,2023-04-15,2023-04-15,Mesadi / Vaisakhadi,#000000,#FFDBDB,1
20230421_krdodl1tn389lbnjtlhng4e12k,2023-04-21,2023-04-21,Jamat Ul-Vida,#000000,#FFDBDB,1
20230422_0gebcino6muoblvpdf274ptdmg,2023-04-22,2023-04-22,Ramzan Id/Eid-ul-Fitar,#000000,#FFDBDB,1
20230505_86m3s6dnv0r58un4s9u87cm4jc,2023-05-05,2023-05-05,Buddha Purnima/Vesak,#000000,#FFDBDB,1
20230509_opg7v6r80md6hu8ru0reord5pk,2023-05-09,2023-05-09,Birthday of Rabindranath,#000000,#FFDBDB,1
20230620_njbb5582o3mog39askdgtg9lg4,2023-06-20,2023-06-20,Rath Yatra,#000000,#FFDBDB,1
20230629_98ps9fnvhlasv30jis8hsgjoc8,2023-06-29,2023-06-29,Bakrid/Eid ul-Adha,#000000,#FFDBDB,1
20230729_ek7pmarjtj44d5ui4ipsnh9b2c,2023-07-29,2023-07-29,Muharram/Ashura,#000000,#FFDBDB,1
20230815_pic1jqopjio982j3g1kamgo7oc,2023-08-15,2023-08-15,Independence Day,white,#D62246,2
20230816_2mrsr018fj2olnqovqnsqjdhbg,2023-08-16,2023-08-16,Parsi New Year,#000000,#FFDBDB,1
20230820_p0osh4rg9o1e8e0nnbcgpm44j8,2023-08-20,2023-08-20,Vinayaka Chathurthi,#000000,#FFDBDB,1
20230829_paop508c2mdiq9v157bt60ju0o,2023-08-29,2023-08-29,Onam,#000000,#FFDBDB,1
20230830_i9okorg6bs30eokho8t87uta28,2023-08-30,2023-08-30,Raksha Bandhan (Rakhi),white,#D62246,2
20230906_25g2aeva0npd765gu9mb9bi1kc,2023-09-06,2023-09-06,Janmashtami (Smarta),#000000,#FFDBDB,1
20230907_a22tsueuq1si4p3u7ha9sqlimk,2023-09-07,2023-09-07,Janmashtami,#000000,#FFDBDB,1
20230919_ikp0lms0a3tbsl0icu7luihvv8,2023-09-19,2023-09-19,Ganesh Chaturthi/Vinayaka Chaturthi,white,#D62246,2
20230928_b946i0p07urvr85fqe01fnfbns,2023-09-28,2023-09-28,Milad un-Nabi/Id-e-Milad,#000000,#FFDBDB,1
